Date,Open,High,Low,Close,Adj Close,Volume,Name
2017-04-03,55.54999923706055,55.75,54.40999984741211,55.310001373291016,37.62143325805664,2735000,OKE
2017-04-04,55.34000015258789,55.959999084472656,54.86000061035156,55.939998626708984,38.049949645996094,1762500,OKE
2017-04-05,56.310001373291016,57.15999984741211,55.88999938964844,55.93000030517578,38.043148040771484,3344500,OKE
2017-04-06,56.20000076293945,56.47999954223633,55.86000061035156,56.33000183105469,38.31523132324219,2821200,OKE
2017-04-07,56.279998779296875,56.90999984741211,55.9900016784668,56.189998626708984,38.219993591308594,2158800,OKE
2017-04-10,56.5,56.5,55.849998474121094,55.93000030517578,38.043148040771484,2037500,OKE
2017-04-11,55.93000030517578,56.099998474121094,55.36000061035156,55.720001220703125,37.900306701660156,1367300,OKE
2017-04-12,55.720001220703125,55.81999969482422,55.099998474121094,55.33000183105469,37.63503646850586,1802500,OKE
2017-04-13,55.439998626708984,55.5099983215332,54.560001373291016,54.619998931884766,37.15209197998047,1674300,OKE
2017-04-17,54.650001525878906,55.0,54.220001220703125,54.40999984741211,37.00925827026367,2071500,OKE
2017-04-18,54.40999984741211,55.13999938964844,54.119998931884766,54.81999969482422,37.28813934326172,2564200,OKE
2017-04-19,54.91999816894531,55.029998779296875,53.790000915527344,53.91999816894531,36.675960540771484,2473400,OKE
2017-04-20,54.029998779296875,54.47999954223633,53.709999084472656,53.790000915527344,36.5875358581543,1852600,OKE
2017-04-21,53.7400016784668,53.86000061035156,52.779998779296875,53.529998779296875,36.41068649291992,2866000,OKE
2017-04-24,54.029998779296875,54.2400016784668,53.33000183105469,53.869998931884766,36.64194869995117,2031500,OKE
2017-04-25,53.86000061035156,54.779998779296875,53.689998626708984,54.72999954223633,37.226924896240234,1662000,OKE
2017-04-26,54.5,55.06999969482422,54.400001525878906,54.5,37.07048034667969,2039300,OKE
2017-04-27,53.470001220703125,54.06999969482422,52.560001373291016,53.0099983215332,36.46852111816406,2511000,OKE
2017-04-28,53.310001373291016,53.310001373291016,52.2599983215332,52.61000061035156,36.193328857421875,2710500,OKE
2017-05-01,52.779998779296875,53.189998626708984,52.470001220703125,53.02000045776367,36.47538375854492,2141000,OKE
2017-05-02,53.220001220703125,53.220001220703125,51.869998931884766,52.29999923706055,35.980064392089844,3154200,OKE
2017-05-03,52.599998474121094,52.88999938964844,51.689998626708984,52.13999938964844,35.869991302490234,2967500,OKE
